,train_score,test_score,model,arg_list
80,0.5631366323374349,0.5612872809613352,lasso,"(-1, 5.0, 1000, 0.0001, 'random')"
81,0.5630798891518571,0.5612320666036776,lasso,"(-1, 5.0, 1000, 0.001, 'cyclic')"
82,0.5631205650869836,0.561270137202653,lasso,"(-1, 5.0, 1000, 0.001, 'random')"
83,0.5630257462349908,0.5611813614276895,lasso,"(-1, 5.0, 1000, 0.01, 'cyclic')"
84,0.5618146032763841,0.5600404142940945,lasso,"(-1, 5.0, 1000, 0.01, 'random')"
85,0.5630971694415189,0.5612482424961309,lasso,"(-1, 5.0, 10000, 0.0001, 'cyclic')"
86,0.5630795935443157,0.5612317898578653,lasso,"(-1, 5.0, 10000, 0.0001, 'random')"
87,0.5630798891518571,0.5612320666036776,lasso,"(-1, 5.0, 10000, 0.001, 'cyclic')"
88,0.5626056881913595,0.5607611500084717,lasso,"(-1, 5.0, 10000, 0.001, 'random')"
89,0.5630257462349908,0.5611813614276895,lasso,"(-1, 5.0, 10000, 0.01, 'cyclic')"
90,0.565475688256119,0.5636051455755848,lasso,"(-1, 5.0, 10000, 0.01, 'random')"
91,0.6808639210776042,0.6908627437800323,ridge,"(-1, 0.1, 100, 0.0001, 'auto')"
92,0.6808639210776042,0.6908627437800323,ridge,"(-1, 0.1, 100, 0.001, 'auto')"
93,0.6808639210776042,0.6908627437800323,ridge,"(-1, 0.1, 100, 0.01, 'auto')"
94,0.6808639210776042,0.6908627437800323,ridge,"(-1, 0.1, 1000, 0.0001, 'auto')"
95,0.6808639210776042,0.6908627437800323,ridge,"(-1, 0.1, 1000, 0.001, 'auto')"
96,0.6808639210776042,0.6908627437800323,ridge,"(-1, 0.1, 1000, 0.01, 'auto')"
97,0.6808639210776042,0.6908627437800323,ridge,"(-1, 0.1, 10000, 0.0001, 'auto')"
98,0.6808639210776042,0.6908627437800323,ridge,"(-1, 0.1, 10000, 0.001, 'auto')"
99,0.6808639210776042,0.6908627437800323,ridge,"(-1, 0.1, 10000, 0.01, 'auto')"
100,0.6808638421148183,0.6908717557834225,ridge,"(-1, 0.5, 100, 0.0001, 'auto')"
101,0.6808638421148183,0.6908717557834225,ridge,"(-1, 0.5, 100, 0.001, 'auto')"
102,0.6808638421148183,0.6908717557834225,ridge,"(-1, 0.5, 100, 0.01, 'auto')"
