,train_score,test_score
330,0.733621758571323,0.7956461679770589
331,0.73362175851203,0.795645824212442
332,0.7336217585746279,0.7956462115840969
333,0.7335496798487517,0.7954506320946918
334,0.7334007811638315,0.7949681343118298
335,0.733621758571323,0.7956461679770589
336,0.733621758571323,0.7956461679770589
337,0.733621758571323,0.7956461679770589
338,0.7255348242104196,0.7852346754592163
339,0.7308246180005743,0.7909395509391353
340,0.7320940142893166,0.7916338091036031
341,0.7257965753296325,0.7832813161070551
342,0.7331471003141892,0.794412895435926
343,0.7331471003141892,0.794412895435926
344,0.7331471003141892,0.794412895435926
345,0.7331471002129167,0.7944125475484533
346,0.733147100314405,0.7944128964661373
347,0.7331341206031639,0.7943804438434142
348,0.733108042435094,0.7943284250846827
349,0.7331471003141892,0.794412895435926
350,0.7331471003141892,0.794412895435926
